object,ra,dec,sma1_25p5,pa1_25p5,ellip1_25p5,sma1_26p5,pa1_26p5,ellip1_26p5,sma2_25p5,pa2_25p5,ellip2_25p5,sma2_26p5,pa2_26p5,ellip2_26p5,mag1,emag1,mag2,emag2,sky1,ssky1,esky1,sky2,ssky2,esky2,c31_1,c42_1,c31_2,c42_2,mabs1,mabs2,mstar,dmean,dstd,dmin,dmax,dmed,type,bar,ring,multiple,compactness,t,e_t,lc,e_lc,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,ube,bve,vmaxg,e_vmaxg,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,lambda,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,mod0,mabs,summary,x,y,z,spt_ind,cntr
NGC4631,190.532527,32.542906,531.9,87.1,0.753,813.7,89.6,0.752,478.2,87.1,0.65,902.5,-86.1,0.651,8.71,0.001,9.031,0.003,0.01151,0.008907,0.002989,0.00728,0.013524,0.005296,4.171,3.773,4.545,3.99,-20.199,-19.878,10.127,6.05,1.584,4.0,7.62,6.29,SBcd,B,,,,6.6,0.7,5.0,0.5,2.16,0.023,0.818,0.048,63.27,21.723,0.419,9.471,0.254,,,,0.56,-0.06,0.58,138.37,3.58,,,,,11.043,0.142,8.182,600.6,3.3,625.6,6.7,605.3,7.3,0.074,1.415,90.0,0.83,1.118,2.134,7.98,,0.386,22.431,138.37,,10.217,2.237,592.2,625.7,786.1,867.1,30.403,29.416,-22.423,"<a href=""/data/SPITZER/S4G/galaxies/NGC4631.html"">Data Access</a>",-0.8287855802266646,-0.154093045505428,0.5379310321362888,212231110,1252
NGC4632,190.6333,-0.082499,100.4,58.9,0.54,118.9,58.9,0.571,98.9,58.4,0.579,114.8,57.3,0.581,11.527,0.001,11.924,0.001,0.092974,0.0152,0.001499,0.108049,0.015154,0.001532,2.953,2.914,2.896,2.861,-19.811,-19.414,10.028,18.518,4.003,14.2,27.4,17.4,Sc,,,,,5.1,0.7,3.9,0.4,1.408,0.027,0.416,0.014,58.51,,,12.281,0.447,10.806,0.072,,,,,101.51,1.43,,,,,13.539,0.11,11.432,1719.3,3.1,1701.6,19.3,1718.9,2.9,0.104,0.7,70.46,0.05,0.862,1.401,11.467,,,22.278,107.72,1.53,13.489,2.022,1548.9,1633.2,1752.5,2052.7,32.067,,-20.6,"<a href=""/data/SPITZER/S4G/galaxies/NGC4632.html"">Data Access</a>",-0.9828272527797286,-0.1845224049887505,-0.0014398786820641,120002000,1253
NGC4633,190.65578,14.357223,81.4,37.6,0.585,93.6,38.8,0.565,74.7,35.3,0.6,83.8,36.5,0.556,13.308,0.002,13.751,0.01,0.078879,0.015163,0.002124,0.129509,0.015472,0.001668,2.624,2.628,2.722,2.712,-18.463,-18.02,9.523,22.6,,22.6,22.6,22.6,SABd,B,,M,,7.9,1.0,7.0,3.2,1.248,0.055,0.375,0.04,33.55,,,13.768,0.066,12.743,0.373,,0.64,-0.14,0.56,81.2,2.39,,,,,15.15,0.164,,288.9,4.1,301.5,2.4,298.3,4.2,0.122,0.684,86.06,0.24,1.503,1.244,12.961,,0.54,22.988,81.39,2.42,14.915,1.953,193.9,258.2,401.5,612.4,,31.766,-18.805,"<a href=""/data/SPITZER/S4G/galaxies/NGC4633.html"">Data Access</a>",-0.9520629226155152,-0.1791332460927714,0.2479666742227071,212311011,1254
NGC4634,190.6695,14.2983,108.1,-22.8,0.724,114.8,-25.1,0.638,102.8,-21.7,0.728,108.8,-20.5,0.684,11.609,0.001,11.986,0.001,0.084082,0.012008,0.001689,0.251567,0.013941,0.00182,3.022,2.995,3.029,2.956,-16.415,-16.038,8.655,,,,,,SBc,B,,M,,5.9,0.4,,,1.392,0.047,0.616,0.047,156.97,,,13.162,0.165,14.293,1.901,,0.77,0.16,0.7,120.01,4.12,,,,,15.353,0.107,11.422,118.0,4.2,232.8,3.7,183.0,40.3,0.12,1.056,80.54,0.1,,1.379,11.984,,0.628,22.682,121.66,4.19,15.252,3.267,78.3,142.8,285.9,497.2,,31.51,-19.526,"<a href=""/data/SPITZER/S4G/galaxies/NGC4634.html"">Data Access</a>",-0.9522700970356645,-0.1794083395667016,0.2469702613384967,212311011,1255
NGC4635,190.663404,19.945292,80.9,-10.1,0.342,94.3,-13.4,0.301,75.3,-5.2,0.367,85.3,-5.2,0.305,12.87,0.002,13.322,0.006,0.06045,0.013338,0.002005,0.033666,0.012776,0.001844,2.664,2.652,2.623,2.62,-18.985,-18.533,9.738,23.5,,23.5,23.5,23.5,SABc,B,,,,6.6,0.7,4.9,0.6,1.288,0.051,0.142,0.032,2.95,,,13.436,0.446,12.852,0.279,,,,0.6,66.01,2.0,,,,,15.473,0.123,13.516,957.4,6.0,949.0,5.0,952.4,4.0,0.119,0.255,44.65,0.02,1.15,1.294,13.058,,,23.333,93.93,2.97,15.452,2.394,875.4,930.8,1081.0,1253.5,31.03,,-17.972,"<a href=""/data/SPITZER/S4G/galaxies/NGC4635.html"">Data Access</a>",-0.9237857551294012,-0.1739400969549661,0.3411227364033347,212312223,1256
NGC4636,190.707725,2.687788,,,,,,,348.6,-23.5,0.374,368.6,-28.1,0.334,,,9.552,0.001,0.085411,0.026451,0.012814,0.332562,0.037188,0.0021,,,5.367,4.513,,-21.5,,16.24,2.735,11.5,23.3,15.55,E,,,,,-4.8,0.5,,,1.803,0.027,0.131,0.03,149.65,,,10.429,0.181,9.679,0.795,0.44,0.94,0.5,0.91,217.25,15.96,203.14,3.45,0.294,0.004,15.33,0.266,,1094.4,17.2,919.7,3.1,925.3,21.9,0.124,0.0,64.36,0.04,,1.817,10.291,0.416,0.903,23.297,240.98,18.06,15.291,5.0,767.2,848.1,972.7,1256.8,30.783,30.588,-20.492,"<a href=""/data/SPITZER/S4G/galaxies/NGC4636.html"">Data Access</a>",-0.9815068026628391,-0.1855946971485414,0.0468935466446293,212032013,1257
NGC4639,190.718303,13.257456,99.1,-51.6,0.36,113.3,-42.0,0.325,94.3,-56.1,0.391,112.7,-45.3,0.372,11.327,0.001,11.785,0.001,0.047976,0.009059,0.002745,0.054065,0.010819,0.001682,3.934,3.837,4.135,4.019,-20.42,-19.962,10.317,22.356,2.66,16.1,32.1,21.9,Sbc,B,R,,,3.5,0.7,3.8,0.6,1.458,0.033,0.183,0.046,136.64,,,12.194,0.055,10.557,0.218,0.08,0.706,0.233,0.864,128.85,2.46,86.96,4.96,,,14.512,0.139,12.466,979.5,4.8,1003.3,5.7,989.3,8.7,0.112,0.285,51.02,0.03,0.735,1.461,11.79,0.028,0.64,22.901,165.75,3.4,14.485,2.695,879.7,945.8,1087.5,1305.5,31.03,31.635,-19.24,"<a href=""/data/SPITZER/S4G/galaxies/NGC4639.html"">Data Access</a>",-0.9563678206119609,-0.1810240117849056,0.2293270565267575,212311031,1258
NGC4641,190.781898,12.051248,71.5,-7.6,0.082,96.5,0.9,0.109,68.2,4.2,0.231,80.5,-7.1,0.099,13.222,0.005,13.666,0.014,0.045757,0.012834,0.001714,0.101837,0.012765,0.001832,5.042,4.377,5.122,4.384,-19.137,-18.693,9.793,,,,,,S0,,,,,-2.0,0.4,,,1.107,0.037,0.086,0.027,167.41,,,14.214,0.359,12.641,0.21,,,,,16.67,0.99,,,,,17.642,0.244,,2018.9,5.5,2011.0,1.8,2011.8,2.1,0.144,0.0,40.57,0.02,,1.12,14.04,,,23.491,25.63,1.57,17.621,3.581,1896.5,1964.5,2104.4,2330.2,32.426,29.5,-18.386,"<a href=""/data/SPITZER/S4G/galaxies/NGC4641.html"">Data Access</a>",-0.9606967098212058,-0.1829481505423222,0.2087865080694961,212022003,1259
NGC4642,190.824095,-0.644271,61.7,37.2,0.642,66.0,37.5,0.609,58.3,36.5,0.651,63.3,36.8,0.586,13.005,0.001,13.413,0.001,0.091383,0.014385,0.001469,0.105335,0.014345,0.001537,2.824,2.813,2.794,2.8,-20.133,-19.724,10.166,42.414,3.639,35.8,45.7,42.8,SABb,B,,,,3.9,0.6,5.0,0.5,1.189,0.036,0.464,0.027,24.1,,,13.759,0.411,12.227,0.081,,,,,139.63,4.57,,,,,15.821,0.135,13.215,2644.5,4.4,2647.3,4.1,2646.0,2.4,0.107,0.717,74.8,0.06,0.841,1.181,12.918,,,22.635,144.69,4.75,15.758,2.839,2474.0,2559.1,2677.2,2979.7,32.973,,-20.054,"<a href=""/data/SPITZER/S4G/galaxies/NGC4642.html"">Data Access</a>",-0.9821462674615041,-0.1877825137808817,-0.0112444132603065,120031000,1260
NGC4643,190.833916,1.978357,164.3,56.0,0.205,204.7,83.3,0.234,157.8,52.6,0.251,195.6,55.5,0.282,9.966,0.001,10.486,0.001,0.044809,0.01169,0.003308,0.096,0.011779,0.001996,6.548,5.029,6.563,5.02,-22.083,-21.564,11.028,25.7,,25.7,25.7,25.7,S0-a,B,,,,-0.6,0.9,,,1.35,0.043,0.107,0.034,131.66,19.866,0.305,11.674,0.083,9.651,0.384,0.57,0.96,0.59,0.99,116.72,4.69,163.0,7.87,,,16.781,0.207,13.493,1330.2,6.5,1328.9,2.1,1329.1,1.4,0.132,0.002,42.92,0.02,,1.357,11.52,0.528,0.901,22.139,171.39,7.25,16.76,5.24,1168.2,1250.0,1373.1,1660.9,31.518,,-19.998,"<a href=""/data/SPITZER/S4G/galaxies/NGC4643.html"">Data Access</a>",-0.9815907218549609,-0.1878507052880786,0.0345219827215699,212032012,1261
